-7.11158	9.89242	17.8779	1.35	
-7.15115	9.82091	17.9761	1.36	
-7.19043	9.74901	18.0736	1.37	
-7.22943	9.67671	18.1703	1.38	
-7.26814	9.60403	18.2664	1.39	
-7.30655	9.53097	18.3617	1.4	
-7.34468	9.45752	18.4563	1.41	
-7.38251	9.38369	18.5501	1.42	
-7.42004	9.30949	18.6432	1.43	
-7.45728	9.23492	18.7355	1.44	
-7.49422	9.15998	18.8271	1.45	
-7.53086	9.08467	18.918	1.46	
-7.5672	9.009	19.0081	1.47	
-7.60323	8.93297	19.0974	1.48	
-7.63897	8.85658	19.186	1.49	
-7.67439	8.77983	19.2738	1.5	
-7.70951	8.70274	19.3608	1.51	
-7.74432	8.62529	19.4471	1.52	
-7.77882	8.54751	19.5325	1.53	
-7.81301	8.46938	19.6172	1.54	
-7.84689	8.39091	19.7011	1.55	
-7.88045	8.3121	19.7843	1.56	
-7.9137	8.23297	19.8666	1.57	
-7.94664	8.1535	19.9481	1.58	
-7.97925	8.07371	20.0289	1.59	
-8.01154	7.99359	20.1088	1.6	
-8.04352	7.91316	20.1879	1.61	
-8.07517	7.8324	20.2663	1.62	
-8.1065	7.75134	20.3438	1.63	
-8.13751	7.66996	20.4205	1.64	
-8.16819	7.58828	20.4963	1.65	
-8.19854	7.5063	20.5714	1.66	
-8.22856	7.42401	20.6457	1.67	
-8.25826	7.34143	20.7191	1.68	
-8.28763	7.25855	20.7917	1.69	
-8.31666	7.17539	20.8634	1.7	
-8.34536	7.09193	20.9343	1.71	
-8.37373	7.00819	21.0044	1.72	
-8.40176	6.92418	21.0736	1.73	
-8.42946	6.83988	21.142	1.74	
-8.45682	6.75531	21.2096	1.75	
-8.48384	6.67048	21.2763	1.76	
-8.51052	6.58537	21.3422	1.77	
-8.53686	6.5	21.4072	1.78	
-8.56286	6.41437	21.4713	1.79	
-8.58852	6.32849	21.5346	1.8	
-8.61383	6.24235	21.597	1.81	
-8.6388	6.15596	21.6586	1.82	
-8.66343	6.06933	21.7193	1.83	
-8.68771	5.98245	21.7791	1.84	
-8.71163	5.89533	21.838	1.85	
-8.73522	5.80798	21.8961	1.86	
-8.75845	5.7204	21.9533	1.87	
-8.78133	5.63258	22.0097	1.88	
-8.80386	5.54455	22.0651	1.89	
-8.82604	5.45629	22.1197	1.9	
-8.84786	5.36781	22.1733	1.91	
-8.86933	5.27911	22.2261	1.92	
-8.89045	5.19021	22.278	1.93	
-8.91121	5.1011	22.329	1.94	
-8.93162	5.01178	22.3792	1.95	
-8.95166	4.92226	22.4284	1.96	
-8.97135	4.83255	22.4767	1.97	
-8.99068	4.74264	22.5241	1.98	
-9.00965	4.65255	22.5707	1.99	
-9.02826	4.56226	22.6163	2	
-9.04651	4.4718	22.661	2.01	
-9.0644	4.38116	22.7048	2.02	
-9.08192	4.29034	22.7477	2.03	
-9.09909	4.19935	22.7897	2.04	
-9.11588	4.10819	22.8308	2.05	
-9.13232	4.01686	22.871	2.06	
-9.14838	3.92538	22.9102	2.07	
-9.16408	3.83374	22.9485	2.08	
-9.17942	3.74194	22.986	2.09	
-9.19439	3.65	23.0225	2.1	
-9.20899	3.55791	23.058	2.11	
-9.22322	3.46568	23.0927	2.12	
-9.23708	3.37331	23.1264	2.13	
-9.25058	3.2808	23.1592	2.14	
-9.2637	3.18816	23.1911	2.15	
-9.27645	3.0954	23.2221	2.16	
-9.28883	3.00251	23.2521	2.17	
-9.30084	2.9095	23.2812	2.18	
-9.31248	2.81638	23.3094	2.19	
-9.32375	2.72314	23.3366	2.2	
-9.33464	2.62979	23.3629	2.21	
-9.34516	2.53634	23.3883	2.22	
-9.3553	2.44279	23.4127	2.23	
-9.36507	2.34914	23.4362	2.24	
-9.37447	2.25539	23.4587	2.25	
-9.38349	2.16156	23.4803	2.26	
-9.39214	2.06764	23.501	2.27	
-9.40041	1.97363	23.5208	2.28	
-9.4083	1.87955	23.5396	2.29	
-9.41582	1.78539	23.5574	2.3	
-9.42296	1.69116	23.5743	2.31	
-9.42973	1.59687	23.5903	2.32	
-9.43612	1.50251	23.6053	2.33	
-9.44213	1.40808	23.6194	2.34	
-9.44776	1.31361	23.6325	2.35	
-9.45301	1.21908	23.6447	2.36	
-9.45789	1.1245	23.656	2.37	
-9.46239	1.02987	23.6663	2.38	
-9.46651	0.935208	23.6756	2.39	
-9.47025	0.840506	23.684	2.4	
-9.47361	0.74577	23.6915	2.41	
-9.47659	0.651004	23.698	2.42	
-9.4792	0.556212	23.7036	2.43	
-9.48142	0.461398	23.7082	2.44	
-9.48327	0.366565	23.7118	2.45	
-9.48473	0.271718	23.7145	2.46	
-9.48582	0.176859	23.7163	2.47	
-9.48653	0.0819941	23.7171	2.48	
-9.48686	-0.0128744	23.717	2.49	
-9.4868	-0.107742	23.7159	2.5	
-9.48637	-0.202606	23.7139	2.51	
-9.48556	-0.297462	23.7109	2.52	
-9.48437	-0.392306	23.707	2.53	
-9.4828	-0.487134	23.7021	2.54	
-9.48085	-0.581942	23.6963	2.55	
-9.47853	-0.676727	23.6896	2.56	
-9.47582	-0.771486	23.6818	2.57	
-9.47273	-0.866213	23.6732	2.58	
-9.46927	-0.960906	23.6636	2.59	
-9.46543	-1.05556	23.653	2.6	
-9.4612	-1.15017	23.6415	2.61	
-9.4566	-1.24474	23.6291	2.62	
-9.45162	-1.33925	23.6157	2.63	
-9.44627	-1.43372	23.6013	2.64	
-9.44053	-1.52812	23.586	2.65	
-9.43442	-1.62247	23.5698	2.66	
-9.42793	-1.71675	23.5527	2.67	
-9.42106	-1.81096	23.5345	2.68	
-9.41382	-1.90509	23.5155	2.69	
-9.4062	-1.99916	23.4955	2.7	
-9.3982	-2.09314	23.4746	2.71	
-9.38983	-2.18704	23.4527	2.72	
-9.38108	-2.28085	23.4299	2.73	
-9.37196	-2.37457	23.4061	2.74	
-9.36246	-2.46819	23.3815	2.75	
-9.35259	-2.56172	23.3558	2.76	
-9.34234	-2.65514	23.3293	2.77	
-9.33172	-2.74846	23.3018	2.78	
-9.32073	-2.84167	23.2734	2.79	
-9.30936	-2.93476	23.244	2.8	
-9.29762	-3.02774	23.2138	2.81	
-9.28551	-3.12059	23.1826	2.82	
-9.27303	-3.21332	23.1504	2.83	
-9.26017	-3.30592	23.1174	2.84	
-9.24695	-3.39839	23.0834	2.85	
-9.23336	-3.49073	23.0485	2.86	
-9.21939	-3.58292	23.0127	2.87	
-9.20506	-3.67497	22.9759	2.88	
-9.19036	-3.76687	22.9382	2.89	
-9.17529	-3.85863	22.8996	2.9	
-9.15986	-3.95023	22.8601	2.91	
-9.14406	-4.04167	22.8197	2.92	
-9.12789	-4.13294	22.7784	2.93	
-9.11136	-4.22406	22.7362	2.94	
-9.09446	-4.315	22.693	2.95	
-9.0772	-4.40577	22.649	2.96	
-9.05958	-4.49637	22.604	2.97	
-9.0416	-4.58679	22.5581	2.98	
-9.02325	-4.67702	22.5113	2.99	
-9.00454	-4.76706	22.4637	3	
-8.98547	-4.85692	22.4151	3.01	
-8.96604	-4.94658	22.3656	3.02	
-8.94626	-5.03604	22.3153	3.03	
-8.92611	-5.1253	22.264	3.04	
-8.90561	-5.21436	22.2119	3.05	
